member_casual,hour,rides,avg_duration_min,median_duration_min
casual,0,8204,103.1067,21.833334
member,0,15874,17.299921,9.283334
casual,1,5384,106.349556,22.666666
member,1,9033,14.75891,9.083333
casual,2,3335,103.23011,20.966667
member,2,5329,24.972864,9.333333
casual,3,1925,191.8596,20.833334
member,3,3686,25.521334,9.366667
casual,4,1175,68.96355,17.5
member,4,6614,11.06889,7.65
casual,5,2614,101.10083,14.95
member,5,33156,11.10719,7.6833334
casual,6,6091,67.73093,15.366667
member,6,102141,12.185662,8.95
casual,7,12866,32.614273,15.766666
member,7,224842,12.6263,9.283334
casual,8,21798,48.951015,18.233334
member,8,283982,13.081817,9.666667
casual,9,28702,63.794598,26.333334
member,9,135131,13.256966,9.133333
casual,10,44764,62.21252,29.416666
member,10,100700,13.850146,9.4
casual,11,60036,55.80004,29.6
member,11,119930,13.133142,9.233334
casual,12,69591,52.16437,28.633333
member,12,136676,16.107603,9.1
casual,13,75179,56.40945,28.616667
member,13,131946,13.969931,9.316667
casual,14,78471,59.854614,28.433332
member,14,127914,14.119289,9.733334
casual,15,80094,55.79046,27.75
member,15,163346,14.529917,9.883333
casual,16,82877,54.137016,26.05
member,16,292901,14.120816,10.216666
casual,17,84487,56.478886,24.1
member,17,390667,14.619546,10.733334
casual,18,68019,50.653393,23.9
member,18,247234,16.058954,10.266666
casual,19,50375,51.29285,23.666666
member,19,158385,15.868982,10.233334
casual,20,34403,61.26941,23.15
member,20,99757,15.090996,10.266666
casual,21,24925,59.06612,22.15
member,21,71268,16.359667,10.133333
casual,22,21166,60.17397,21.5
member,22,48535,14.507981,10.0
casual,23,14156,48.861588,21.608334
member,23,28320,18.319145,9.983334
