member_casual,weekday_num,hour,rides,weekday
casual,0,0,907,Monday
casual,0,1,574,Monday
casual,0,2,280,Monday
casual,0,3,189,Monday
casual,0,4,147,Monday
casual,0,5,367,Monday
casual,0,6,863,Monday
casual,0,7,1856,Monday
casual,0,8,2902,Monday
casual,0,9,3300,Monday
casual,0,10,5209,Monday
casual,0,11,7075,Monday
casual,0,12,7662,Monday
casual,0,13,8022,Monday
casual,0,14,8231,Monday
casual,0,15,8675,Monday
casual,0,16,9374,Monday
casual,0,17,10945,Monday
casual,0,18,8489,Monday
casual,0,19,6201,Monday
casual,0,20,4228,Monday
casual,0,21,2805,Monday
casual,0,22,2019,Monday
casual,0,23,1169,Monday
casual,1,0,639,Tuesday
casual,1,1,389,Tuesday
casual,1,2,206,Tuesday
casual,1,3,132,Tuesday
casual,1,4,126,Tuesday
casual,1,5,390,Tuesday
casual,1,6,1037,Tuesday
casual,1,7,1920,Tuesday
casual,1,8,2909,Tuesday
casual,1,9,2781,Tuesday
casual,1,10,3794,Tuesday
casual,1,11,4869,Tuesday
casual,1,12,5326,Tuesday
casual,1,13,6039,Tuesday
casual,1,14,6446,Tuesday
casual,1,15,6909,Tuesday
casual,1,16,8100,Tuesday
casual,1,17,10466,Tuesday
casual,1,18,8501,Tuesday
casual,1,19,6498,Tuesday
casual,1,20,4401,Tuesday
casual,1,21,2943,Tuesday
casual,1,22,2338,Tuesday
casual,1,23,1496,Tuesday
casual,2,0,717,Wednesday
casual,2,1,324,Wednesday
casual,2,2,212,Wednesday
casual,2,3,104,Wednesday
casual,2,4,106,Wednesday
casual,2,5,369,Wednesday
casual,2,6,987,Wednesday
casual,2,7,2061,Wednesday
casual,2,8,2979,Wednesday
casual,2,9,2644,Wednesday
casual,2,10,3750,Wednesday
casual,2,11,4840,Wednesday
casual,2,12,5388,Wednesday
casual,2,13,6123,Wednesday
casual,2,14,6546,Wednesday
casual,2,15,6841,Wednesday
casual,2,16,8611,Wednesday
casual,2,17,10795,Wednesday
casual,2,18,8640,Wednesday
casual,2,19,6324,Wednesday
casual,2,20,4214,Wednesday
casual,2,21,3203,Wednesday
casual,2,22,2541,Wednesday
casual,2,23,1426,Wednesday
casual,3,0,741,Thursday
casual,3,1,476,Thursday
casual,3,2,249,Thursday
casual,3,3,159,Thursday
casual,3,4,70,Thursday
casual,3,5,322,Thursday
casual,3,6,904,Thursday
casual,3,7,1894,Thursday
casual,3,8,2973,Thursday
casual,3,9,2840,Thursday
casual,3,10,4009,Thursday
casual,3,11,5383,Thursday
casual,3,12,6225,Thursday
casual,3,13,6938,Thursday
casual,3,14,7679,Thursday
