start_station_name,member_rides,casual_rides,total_rides,casual_share
Lake Shore Dr & Monroe St,10566.0,39238.0,49804.0,0.7878483655931251
Streeter Dr & Grand Ave,14879.0,53104.0,67983.0,0.7811364605857347
Shedd Aquarium,5815.0,20617.0,26432.0,0.7800015133171913
Field Museum,2402.0,7654.0,10056.0,0.7611376292760541
Dusable Harbor,4607.0,12546.0,17153.0,0.7314172447968286
Adler Planetarium,4807.0,11928.0,16735.0,0.712757693456827
McCormick Place,1931.0,3697.0,5628.0,0.6568941009239516
Michigan Ave & 8th St,5269.0,9525.0,14794.0,0.6438420981478978
Millennium Park,12357.0,21749.0,34106.0,0.63768838327567
Michigan Ave & Oak St,14061.0,21388.0,35449.0,0.603345651499337
Montrose Harbor,5405.0,8188.0,13593.0,0.6023688663282571
Cannon Dr & Fullerton Ave,2528.0,3607.0,6135.0,0.5879380603096984
Buckingham Fountain,2645.0,3616.0,6261.0,0.5775435233988181
Lake Shore Dr & North Blvd,15520.0,18952.0,34472.0,0.5497795312137387
Fort Dearborn Dr & 31st St,3491.0,3934.0,7425.0,0.5298316498316499
Michigan Ave & Pearson St,5564.0,5333.0,10897.0,0.48940075250068826
Michigan Ave & Ida B Wells Dr,4440.0,4056.0,8496.0,0.4774011299435028
Theater on the Lake,16974.0,15027.0,32001.0,0.4695790756538858
Lakefront Trail & Bryn Mawr Ave,5181.0,4478.0,9659.0,0.4636090692618283
Michigan Ave & Jackson Blvd,8624.0,6917.0,15541.0,0.4450807541342256
Lake Shore Dr & Ohio St,8063.0,6379.0,14442.0,0.4416978257859022
Lake Shore Dr & Belmont Ave,7745.0,5722.0,13467.0,0.42489047300809385
Lakefront Trail & Wilson Ave,3534.0,2390.0,5924.0,0.4034436191762323
Lake Shore Dr & Diversey Pkwy,7331.0,4698.0,12029.0,0.3905561559564386
Indiana Ave & Roosevelt Rd,12922.0,8029.0,20951.0,0.38322753090544603
Marine Dr & Ainslie St,3214.0,1958.0,5172.0,0.3785769528228925
Clark St & North Ave,5906.0,3585.0,9491.0,0.3777262669897798
Sheffield Ave & Waveland Ave,7780.0,4351.0,12131.0,0.35866787569038
Lake Shore Dr & Wellington Ave,7974.0,4405.0,12379.0,0.3558445754907505
Wabash Ave & Wacker Pl,7732.0,4208.0,11940.0,0.352428810720268
