member_casual,month,rides,avg_duration_min,median_duration_min,month_name
casual,1,4602,47.324726,21.808334,January
member,1,98670,15.6500435,8.35,January
casual,2,2638,145.60484,17.766666,February
member,2,93548,13.403622,8.116667,February
casual,3,15923,52.3059,24.583334,March
member,3,149688,13.040349,8.516666,March
casual,4,47744,50.942455,28.0,April
member,4,217566,13.512793,9.433333,April
casual,5,81624,51.23836,27.9,May
member,5,285834,13.849897,9.983334,May
casual,6,130218,45.920036,26.816668,June
member,6,345177,14.547441,10.7,June
casual,7,175632,59.783825,26.9,July
member,7,381683,16.433334,11.05,July
casual,8,186889,67.00752,26.233334,August
member,8,403295,16.185541,10.766666,August
casual,9,129173,51.666702,24.5,September
member,9,364046,14.130649,10.183333,September
casual,10,71035,58.992153,22.133333,October
member,10,300751,13.030888,9.216666,October
casual,11,18729,67.01663,18.55,November
member,11,158447,12.43208,8.483334,November
casual,12,16430,63.332657,21.383333,December
member,12,138662,11.415164,8.35,December
