member_code,start_station_name,end_station_name,rides,member_casual
0,Canal St & Adams St,Michigan Ave & Washington St,3538,member
0,Michigan Ave & Washington St,Clinton St & Washington Blvd,2777,member
0,Columbus Dr & Randolph St,Clinton St & Washington Blvd,2640,member
0,Michigan Ave & Washington St,Canal St & Adams St,2537,member
0,Canal St & Madison St,Michigan Ave & Washington St,2328,member
0,Clinton St & Washington Blvd,Michigan Ave & Washington St,2232,member
0,Columbus Dr & Randolph St,State St & Randolph St,2188,member
0,Wacker Dr & Washington St,Michigan Ave & Washington St,2121,member
0,Columbus Dr & Randolph St,Canal St & Adams St,2115,member
0,MLK Jr Dr & 29th St,State St & 33rd St,2005,member
0,Loomis St & Lexington St,Morgan St & Polk St,1914,member
0,Clinton St & Madison St,LaSalle St & Jackson Blvd,1829,member
0,Michigan Ave & Lake St,Canal St & Adams St,1808,member
0,Morgan St & Polk St,Loomis St & Lexington St,1783,member
0,Columbus Dr & Randolph St,Canal St & Madison St,1761,member
0,University Ave & 57th St,Kimbark Ave & 53rd St,1728,member
0,Clinton St & Madison St,Michigan Ave & Washington St,1693,member
0,Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,1684,member
0,Canal St & Adams St,Larrabee St & Kingsbury St,1675,member
0,Ellis Ave & 55th St,Ellis Ave & 60th St,1663,member
0,Canal St & Adams St,Columbus Dr & Randolph St,1660,member
0,State St & 33rd St,MLK Jr Dr & 29th St,1660,member
0,Lake Park Ave & 56th St,University Ave & 57th St,1657,member
0,Ellis Ave & 60th St,Ellis Ave & 55th St,1640,member
0,University Ave & 57th St,Lake Park Ave & 56th St,1591,member
0,LaSalle St & Jackson Blvd,Canal St & Madison St,1563,member
0,Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,1563,member
0,Michigan Ave & Washington St,Canal St & Madison St,1523,member
0,Michigan Ave & Lake St,Clinton St & Washington Blvd,1512,member
0,Sheffield Ave & Fullerton Ave,Southport Ave & Wrightwood Ave,1505,member
0,Larrabee St & Kingsbury St,Canal St & Adams St,1499,member
0,Kingsbury St & Erie St,Kingsbury St & Kinzie St,1459,member
0,Clinton St & Washington Blvd,LaSalle St & Jackson Blvd,1453,member
0,Broadway & Belmont Ave,Wilton Ave & Belmont Ave,1443,member
